,id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
0,3100104,2010,63672215,3466555,6020566,20586812,5826007,16947789,16845053
1,3100203,2010,226324643,18137955,208186688,31883493,30690289,94263611,51349295
2,3100302,2010,10681397,6572572,100241398,20715496,14454303,37438158,27633442
3,3100401,2010,22440227,827074,21613153,2822003,126909,6979788,10542273
4,3100500,2010,48966306,2770607,46195698,7558957,1777258,13204355,23655129
5,3100609,2010,74170031,2664279,71505752,19359397,4454494,17302443,30389417
6,3100708,2010,79349571,3104308,76245262,43434608,4419148,18843145,9548361
7,3100807,2010,29292395,904277,28388119,6923055,2521712,80999,10843451
8,3100906,2010,98201235,5762481,92438755,7769227,9111358,3625053,3930764
9,3101003,2010,132151652,13226092,11892556,23748808,659154,61764823,26820389
10,3101102,2010,254295898,13561631,240734267,25323383,59748662,96529295,59132927
11,3101201,2010,47132389,2709085,44423304,8385228,4145183,17289529,14603364
12,3101300,2010,18592288,499733,18092555,4378898,601977,4649243,8462436
13,3101409,2010,3081614,3125804,27690336,3999848,1126993,13135272,9428222
14,3101508,2010,564993181,68417827,496575354,7052871,105686987,306554721,77280775
15,3101607,2010,1284402449,153624843,1130777606,82592917,222855571,659836753,165492365
16,3101631,2010,43379062,2190188,41188874,11367859,503333,10394843,14392842
17,3101706,2010,264550997,13313783,251237214,13397653,53011604,105170703,79657253
18,3101805,2010,39024991,1957003,37067988,3021907,4188024,13102551,16755507
19,3101904,2010,203287601,17420381,185867221,34160478,25436421,87065903,39204419
20,3102001,2010,108555617,429688,104258737,28784233,8843745,36785956,29844803
21,3102050,2010,38390625,1021244,37369382,10807963,1849363,11871424,12840632
22,3102100,2010,79308308,2207308,77101,28524445,4382216,18620573,25573767
23,3102209,2010,21650741,656042,20994699,4125812,960906,5390062,10517919
24,3102308,2010,153923255,23131327,130791928,9185924,38660001,49598405,33347598
25,3102407,2010,21985763,2159823,1982594,5324777,894907,4054132,9552125
26,3102506,2010,24276191,794325,23481866,4451664,1078407,5897347,12054447
27,3102605,2010,483673247,57449815,426223432,58370211,92078546,196381436,79393239
28,3102704,2010,6246458,5718525,56746055,4677693,2700582,30360274,19007506
29,3102803,2010,97386286,7061936,9032435,15014099,8905838,40072073,26332339
